nu,trial,method,SHD,F1,TPR,FDR,NMI,ARI
7,5,Gaussian HMM,26.333333333333332,0.16391987829614604,1.0,0.909168035030104,0.6452063067511574,0.4877183284817093
7,5,TRACED,24.333333333333332,0.17513597513597515,1.0,0.902051282051282,0.6474908067080589,0.44426112022667363
7,6,Single DAG,26.666666666666668,0.1975108225108225,1.0,0.888888888888889,0.0,0.0
7,6,Gaussian HMM,19.0,0.24065781151170143,0.8666666666666667,0.8482236154649948,0.7720930480231303,0.7971532185687277
7,6,TRACED,21.0,0.22268817204301075,0.9333333333333332,0.8721133938525242,0.6488081405697417,0.4474015029860393
7,7,Single DAG,21.333333333333332,0.21185185185185185,0.9444444444444445,0.875,0.0,0.0
7,7,Gaussian HMM,14.666666666666666,0.19943019943019943,0.4444444444444444,0.859903381642512,0.46659408810206326,0.37708554157600604
7,7,TRACED,19.0,0.13128205128205125,0.27777777777777773,0.9140350877192982,0.6358676596968397,0.44158007537190125
7,8,Single DAG,25.0,0.181663929939792,0.6277777777777778,0.8933333333333332,0.0,0.0
7,8,Gaussian HMM,21.333333333333332,0.20895770895770893,0.6722222222222222,0.8759794743776438,0.663602995942603,0.6495448583485116
7,8,TRACED,14.0,0.15,0.35000000000000003,0.8950617283950617,0.6451066329997736,0.44386162189169126
7,9,Single DAG,25.666666666666668,0.17514367816091955,0.8666666666666667,0.9012345679012346,0.0,0.0
7,9,Gaussian HMM,15.666666666666666,0.16414141414141414,0.37777777777777777,0.8857142857142858,0.5076097524245523,0.38378933092225703
7,9,TRACED,19.666666666666668,0.10171568627450982,0.39999999999999997,0.9377394636015325,0.9849372007700015,0.9920162516731278
10,0,Single DAG,21.666666666666668,0.28530465949820794,1.0,0.8333333333333334,0.0,0.0
10,0,Gaussian HMM,16.333333333333332,0.3144939271255061,0.85,0.8063492063492065,0.5635574558366689,0.40565437534445453
10,0,TRACED,14.333333333333334,0.32222222222222224,0.7000000000000001,0.7709401709401709,0.593481469664345,0.5233115361428426
10,1,Single DAG,24.666666666666668,0.15178571428571427,1.0,0.9135802469135802,0.0,0.0
10,1,Gaussian HMM,22.0,0.0857142857142857,0.4666666666666666,0.9468390804597702,0.7823591282298851,0.8161082104778314
